id,Background,Key,Key_Light,Leak
OPTOBURNINGTEST04_15_0,0.6710748792270531,0.32892512077294683,0.0,0.0
OPTOBURNINGTEST04_15_1,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_15_2,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_15_3,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_15_4,0.441959972394755,0.558040027605245,0.0,0.0
OPTOBURNINGTEST04_15_5,0.20615942028985507,0.7833764665286405,0.0,0.010464113181504486
OPTOBURNINGTEST04_15_6,0.0,0.9732962387853692,0.0,0.02670376121463078
OPTOBURNINGTEST04_15_7,0.0,0.9645919599723948,0.0,0.035408040027605246
OPTOBURNINGTEST04_15_8,0.29188233264320224,0.6881340579710145,0.0,0.0199836093857833
OPTOBURNINGTEST04_15_9,0.32526742581090407,0.6747325741890959,0.0,0.0
OPTOBURNINGTEST04_15_10,0.007216183574879227,0.9628795721187026,0.02990424430641822,0.0
OPTOBURNINGTEST04_15_11,0.043939786059351275,0.9083592132505176,0.047701000690131126,0.0
OPTOBURNINGTEST04_15_12,0.050483091787439614,0.9495169082125604,0.0,0.0
OPTOBURNINGTEST04_15_13,0.6793090062111802,0.2950310559006211,0.0,0.02565993788819876
OPTOBURNINGTEST04_15_14,0.15201000690131125,0.7023378191856453,0.0,0.14565217391304347
OPTOBURNINGTEST04_15_15,0.10197550034506556,0.709920634920635,0.0,0.18810386473429952
OPTOBURNINGTEST04_15_16,0.17947291235334714,0.6847394755003451,0.0,0.1357876121463078
OPTOBURNINGTEST04_15_17,0.6669211525189787,0.3330486542443064,0.0,3.0193236714975845e-05
OPTOBURNINGTEST04_15_18,0.013750862663906143,0.763319530710835,0.2229296066252588,0.0
OPTOBURNINGTEST04_15_19,0.001281055900621118,0.8218987232574189,0.17682022084195997,0.0
OPTOBURNINGTEST04_15_20,0.023658557625948932,0.8032134230503796,0.1731280193236715,0.0
OPTOBURNINGTEST04_15_21,0.6854511732229124,0.3145488267770876,0.0,0.0
OPTOBURNINGTEST04_15_22,0.2243702553485162,0.6841356107660456,0.0,0.09149413388543823
OPTOBURNINGTEST04_15_23,0.3293693926846101,0.6177320565907523,0.0,0.05289855072463768
OPTOBURNINGTEST04_15_24,1.0,0.0,0.0,0.0
OPTOBURNINGTEST04_17_0,0.6489044168391994,0.35109558316080053,0.0,0.0
OPTOBURNINGTEST04_17_1,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_17_2,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_17_3,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_17_4,0.42868788819875775,0.5713121118012422,0.0,0.0
OPTOBURNINGTEST04_17_5,0.19432367149758453,0.8056763285024154,0.0,0.0
OPTOBURNINGTEST04_17_6,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_17_7,0.0,1.0,0.0,0.0
OPTOBURNINGTEST04_17_8,0.25678053830227743,0.7432194616977226,0.0,0.0
OPTOBURNINGTEST04_17_9,0.5145013802622498,0.48549861973775016,0.0,0.0
OPTOBURNINGTEST04_17_10,0.14325396825396824,0.8567460317460317,0.0,0.0
OPTOBURNINGTEST04_17_11,0.08712474120082815,0.9128752587991719,0.0,0.0
OPTOBURNINGTEST04_17_12,0.09559610075914424,0.9044038992408557,0.0,0.0
OPTOBURNINGTEST04_17_13,0.5258022774327122,0.47419772256728776,0.0,0.0
OPTOBURNINGTEST04_17_14,0.0037525879917184265,0.9834497929606625,0.012797619047619047,0.0
OPTOBURNINGTEST04_17_15,0.06070134575569358,0.8307324016563147,0.10856625258799171,0.0
OPTOBURNINGTEST04_17_16,0.00237663906142167,0.9976233609385783,0.0,0.0
OPTOBURNINGTEST04_17_17,0.657682022084196,0.34174861973775017,0.0,0.0005693581780538302
OPTOBURNINGTEST04_17_18,0.1476923740510697,0.7433186680469289,0.0,0.10898895790200137
OPTOBURNINGTEST04_17_19,0.05745341614906832,0.7654071773636991,0.0,0.1771394064872326
OPTOBURNINGTEST04_17_20,0.1075655624568668,0.7891347481021395,0.0,0.10329968944099378
OPTOBURNINGTEST04_17_21,0.7007634575569358,0.2934394409937888,0.0,0.005797101449275362
OPTOBURNINGTEST04_17_22,0.014708419599723948,0.7283730158730158,0.2569185645272602,0.0
OPTOBURNINGTEST04_17_23,0.023205659075224292,0.6099723947550034,0.36682194616977226,0.0
OPTOBURNINGTEST04_17_24,0.9924258109040718,0.007574189095928227,0.0,0.0
total,0.235177104899931,0.7143515355417529,0.027911749482401653,0.02255961007591442
